,0
Tracy JI,8
Faro SS,1
Mohammed F,1
Pinus A,2
Christensen H,1
Burkland D,1
Druzgal TJ,3
Andrade A,4
Kherif F,8
Mangin JF,8
Worsley KJ,4
Simon O,2
Liddle PF,16
Kiehl KA,43
Smith AM,5
Menon V,30
Adleman NE,4
White CD,3
Reiss AL,24
Freund HJ,4
Haslinger B,12
Erhard P,9
Kampfe N,1
Boecker H,8
Rummeny E,3
Schwaiger M,4
Conrad B,6
Ceballos-Baumann AO,10
Schubotz RI,35
Keller TA,10
Carpenter PA,3
Just MA,18
Pochon JB,8
Levy R,8
Crozier S,1
Pillon B,3
Deweer B,1
Dubois B,9
Surguladze SA,5
Calvert GA,5
Campbell R,8
Giampietro V,33
Weidner R,16
Thomas KM,5
Drevets WC,14
Eccard CH,1
Dahl RE,10
Ryan ND,8
Casey BJ,8
Murata T,4
Omori M,5
Takahashi T,8
Xiao R,2
Inase M,1
Iijima T,7
Tabert MH,2
Borod JC,1
Tang CY,6
Lange G,4
Wei TC,2
Johnson R,1
Nusbaum AO,1
Buchsbaum MS,6
Peuskens H,4
Kesler-West ML,1
Andersen AH,3
Smith CD,3
Avison MJ,1
Davis CE,1
Kryscio RJ,2
Blonder LX,1
Indefrey P,5
Steinmetz H,4
Zafiris O,3
Schwab A,2
Markowitsch HJ,10
Cabeza R,38
Perani D,21
Brunelli GA,1
Tettamanti M,22
Scifo P,7
Tecchio F,2
Rossini PM,9
Fazio F,8
Muller RA,14
Pierce K,1
Ambrose JB,1
Allen G,2
Courchesne E,7
Yvert B,1
Crouzeix A,1
Bertrand O,5
Seither-Preisler A,1
Pantev C,9
Ruben J,2
Schwiemann J,2
Deuchert M,1
Meyer R,2
Krause T,2
Curio G,5
Villringer K,2
Kurth R,1
Tobler PN,12
Felblinger J,1
Burki M,1
Nirkko AC,1
Ozdoba C,1
Muri RM,3
Muckli L,8
Stoerig P,1
Olausson H,10
Ha B,1
Duncan GH,3
Morin C,1
Ptito A,6
Ptito M,7
Marchand S,2
Bushnell MC,12
Ferstl EC,6
Maguire EA,16
Vargha-Khadem F,6
Mishkin M,2
Goldstein JM,6
Horton NJ,1
Makris N,16
Kennedy DN,4
Caviness VS Jr,3
Faraone SV,8
Tsuang MT,5
Fagergren E,1
Breiter HC,2
Aharon I,2
Kahneman D,2
Dale A,1
Shizgal P,1
Vuilleumier P,47
Kaufman J,2
Martin A,16
King RA,1
Charney D,1
Rushworth MF,5
Paus T,20
Sipila PK,1
Hasnain MK,2
Fox PT,26
Woldorff MG,16
Christodoulou C,2
DeLuca J,4
Ricker JH,1
Madigan NK,1
Bly BM,2
Kalnin AJ,2
Liu WC,2
Steffener J,12
Diamond BJ,1
Ni AC,1
Goel V,6
Rossell SL,4
Barch DM,25
Braver TS,18
Conturo T,1
Ollinger J,1
Snyder A,1
Watkins KE,11
Lerch JP,5
Zijdenbos A,1
Collins DL,2
Neelin P,1
Taylor J,3
Leonards U,1
Belin P,12
Kuhtz-Buschbeck JP,3
Solomon J,2
Chowdhury S,1
Sinha P,1
Galati G,16
Committeri G,9
Sanes JN,8
Pizzamiglio L,5
Monchi O,22
Petre V,1
Worsley K,3
Dagher A,15
Bunge SA,12
Ochsner KN,14
Desmond JE,7
Donaldson DI,4
Jessen F,6
Flacke S,1
Granath DO,3
Manka C,2
Scheef L,5
Papassotiropoulos A,8
Schild HH,2
Heun R,4
MacSweeney M,9
Surguladze S,7
Calvert G,1
McGuire P,14
Servos P,3
Lederman S,1
Wilson D,2
Gati J,2
Chein JM,3
Fiez JA,10
Strange BA,2
Devlin JT,13
Russell RP,1
Davis MH,23
Price CJ,50
Moss HE,3
Fadili MJ,1
Tyler LK,17
Rubia K,36
Russell T,3
Taylor E,9
Sommer IE,8
Ramsey NF,22
Kahn RS,25
Dukelow SP,3
DeSouza JF,5
van den Berg AV,2
Menon RS,13
Vilis T,5
Backus BT,1
Fleet DJ,1
Parker AJ,2
Heeger DJ,3
Shergill SS,14
Cameron LA,1
Wilson SJ,8
McMahon KL,10
Muthiah S,1
Lotze M,29
Flor H,38
Larbig W,2
Birbaumer N,22
Milham MP,19
Banich MT,29
Webb A,1
Barad V,1
Wszalek T,1
Kramer AF,12
Zysset S,13
Muller K,10
Lehmann C,5
Thone-Otto AI,1
Kato C,5
Moriya T,3
Bavelier D,5
Brozinsky C,1
Tomann A,1
Mitchell T,3
Neville H,1
Liu G,7
Hare RD,3
Mendrek A,9
Forster BB,2
Brink J,1
Nahas Z,2
Lomarev M,2
Roberts DR,1
Shastri A,1
Lorberbaum JP,2
Teneback C,1
McConnell K,1
Vincent DJ,1
Li X,30
George MS,7
Bohning DE,6
Hall DA,7
Johnsrude IS,15
Haggard MP,1
Palmer AR,2
Akeroyd MA,1
Summerfield AQ,1
Gorno-Tempini ML,9
Ploghaus A,2
Narain C,3
Beckmann CF,15
Clare S,3
Bantick S,2
Wise R,4
Matthews PM,26
Rawlins JN,1
Tracey I,18
Shin LM,8
Pitman RK,3
Macklin ML,1
Lasko NB,2
Orr SP,3
Reddy H,1
Bendahan D,1
Lee MA,1
Johansen-Berg H,14
Donaghy M,2
Hilton-Jones D,1
Dudukovic NM,2
Thomason ME,9
Vaidya CJ,10
Bornhovd K,1
Quante M,2
Glauche V,18
Bromm B,2
Weiller C,30
Gagnon D,1
O'Driscoll GA,3
Cooke A,2
Zurif EB,1
DeVita C,4
Alsop D,5
Koenig P,6
Detre J,4
Gee J,7
Pinango M,1
Balogh J,1
Grossman M,27
Di Russo F,6
Martinez A,7
Sereno MI,6
Pitzalis S,5
Hillyard SA,6
Glosser G,2
Jones DK,1
Gasston D,2
Horsfield MA,2
Howard R,3
Weniger G,2
Irle E,2
Muller HJ,7
Rowe J,5
Lees A,1
Passingham R,2
Bantick SJ,1
Wise RG,7
Smith SM,9
Sack AT,13
Hubl D,6
Prvulovic D,10
Maurer K,4
Boakye M,1
Krauss BR,2
Huckins SC,1
Zhang L,25
Szeverenyi NM,2
Hodge CJ Jr,1
Fincham JM,8
Carter CS,28
van Veen V,2
Stenger VA,9
Anderson JR,15
Ostrowsky K,1
Magnin M,3
Ryvlin P,1
Isnard J,2
Guenot M,2
Fabri M,3
Polonara G,3
Quattrini A,1
Salvolini U,3
Ino T,4
Inoue Y,4
Kage M,1
Hirose S,17
Kimura T,4
Vanrie J,2
Beatse E,1
Wagemans J,8
Gray JR,10
Kahn I,5
Yeshurun Y,2
Rotshtein P,18
Fried I,2
Ben-Bashat D,1
Hendler T,28
Kane MJ,1
Alexander GM,1
Lacadie C,7
May J,1
Newman JD,1
Horwitz AR,1
Dubno JR,4
Lydiard RB,1
Hamner MB,1
Shelton AL,1
Warren JD,10
Zielinski BA,2
Rauschecker JP,9
Aaside CT,1
Humphreys GW,17
Hautzel H,3
Mottaghy FM,10
Schmidt D,2
Zemb M,1
Muller-Gartner HW,1
Krause BJ,6
Herwig U,13
Kolbel K,1
Wunderlich AP,3
Thielscher A,6
von Tiesenhausen C,1
Schonfeldt-Lecuona C,4
Weilke F,1
Bartenstein P,7
Grafin von Einsiedel H,2
Kraut MA,5
Moo LR,3
Segal JB,2
Hart J Jr,6
Fossati P,11
Arnow BA,1
Banner LL,1
Solomon A,1
Polan ML,1
Lue TF,1
Atlas SW,1
Gurd JM,2
Amunts K,29
Cirillo S,2
Elefante R,1
Tansy AP,4
Kincade M,1
McAvoy MP,8
Hayashi T,5
Takahashi E,3
Cools R,13
Clark L,5
Owen AM,20
Robbins TW,13
Osu R,1
Santi A,7
Kawato M,9
Kassubek J,4
Huppertz HJ,3
Spreer J,5
Schulze-Bonhage A,7
Fraser C,1
Power M,1
Hamdy S,3
Rothwell J,1
Hobday D,1
Hollander I,1
Tyrell P,1
Hobson A,1
Williams S,6
Thompson D,1
Olson IR,9
Woll B,9
McAlonan GM,5
Daly E,4
Kumari V,26
van Amelsvoort T,2
Sigmundsson T,1
Greenwood K,1
Russell A,1
Schmitz N,4
Murray MM,5
Wylie GR,7
Higgins BA,1
Javitt DC,9
Schroeder CE,2
Foxe JJ,10
Binkofski F,22
Buccino G,8
Taylor JG,1
Seitz RJ,24
Guilfoyle D,1
Ritter W,2
Siedentopf CM,4
Golaszewski SM,3
Ruff CC,8
Felber S,7
Schlager A,2
Chapman H,2
Gavrilescu M,5
Wang H,20
Kean M,1
Castiello U,12
Rivera SM,4
Glaser B,2
Fukuda R,2
Bullmore E,7
Amaro E Jr,8
Booth JR,36
Burman DD,13
Mesulam MM,16
Calhoun VD,78
Pekar JJ,14
McGinty VB,1
Adali T,9
Watson TD,1
Pearlson GD,50
Koski L,4
Wohlschlager A,5
Bekkering H,13
Woods RP,4
Dubeau MC,3
Mazziotta JC,8
Iacoboni M,24
Munk MH,2
Grefkes C,19
Sperling JM,1
Heim S,20
Chen AC,3
Niddam DM,8
Crawford HJ,1
Oostenveld R,3
Arendt-Nielsen L,2
Santhouse AM,1
Ffytche DH,7
Stewart AL,1
Rooney M,1
Wyatt JS,1
Rifkin L,6
Johnson SC,11
Baxter LC,3
Wilder LS,1
Pipe JG,1
Heiserman JE,1
Prigatano GP,1
Castelli F,2
Bentley DE,1
Youell PD,1
Jones AK,2
Veit R,19
Erb M,31
Hermann C,6
Rowe JB,18
Danek A,1
Burnod Y,4
Rilling J,1
Gutman D,2
Zeh T,1
Pagnoni G,17
Berns G,1
Kilts C,2
Paulesu E,15
Maravita A,3
Marzi CA,5
Kosaka H,7
Itoh H,3
Wada Y,7
Gray JA,5
Vythelingum GN,3
Corr PJ,3
Noesselt T,8
Schoenfeld A,1
Tempelmann C,16
Heckers S,11
Weiss AP,7
Alpert NM,1
Brass M,25
Herath P,1
Young J,2
Roland P,1
Gold BT,10
Savic I,10
Gulyas B,1
Berglund H,4
Wilke M,5
Schmithorst VJ,13
Holland SK,22
Lanius RA,14
Williamson PC,7
Boksman K,5
Densmore M,12
Gupta M,1
Neufeld RW,9
Gati JS,6
Staudt M,3
Stitz J,1
Krageloh-Mann I,3
Kwon H,2
Davidson MC,3
Kunz K,1
Franzen PL,1
Meyer M,14
Alter K,10
Lohmann G,9
Dimitrova A,5
Weber J,14
Maschke M,4
Elles HG,5
Kolb FP,4
Forsting M,26
Diener HC,11
Timmann D,19
Grossman ED,3
Blake R,1
McGlone F,9
Kelly EF,1
Trulsson M,2
Francis ST,6
Bowtell R,6
Simon SR,3
Meunier M,2
Piettre L,1
Berardi AM,1
Segebarth CM,1
Boussaoud D,4
Blasi V,3
Young AC,1
Ohki K,3
Hagen MC,1
Franzen O,1
Essick G,2
Dancer C,2
Pardo JV,2
Pessoa L,17
Gutierrez E,1
Bandettini P,1
Ungerleider L,1
Thoenissen D,1
Curt A,2
Alkadhi H,1
Boendermaker SH,1
Hepp-Reymond MC,7
Kollias SS,8
Dupont S,2
Samson Y,4
Samson S,2
Hasboun D,1
Baulac M,1
Frank GK,7
Kaye WH,5
Meltzer CC,3
Price JC,2
Greer P,1
McConaha C,1
Skovira K,1
Lee TM,19
Liu HL,10
Hoosain R,1
Liao WT,1
Wu CT,3
Yuen KS,4
Chan CC,12
Gao JH,12
Christmann C,4
Ruf M,11
Braus DF,16
Dreher JC,6
Lawrence NS,7
Reber PJ,7
Siwiec RM,2
Paller KA,5
Okuaki T,2
Machida T,5
Shirouzu I,5
Mitchell JP,18
Heatherton TF,11
Macrae CN,12
Matsui M,1
Yoneyama E,1
Sumiyoshi T,1
Noguchi K,1
Nohara S,1
Suzuki M,7
Kawasaki Y,1
Seto H,1
Kurachi M,2
Acuna BD,1
Eliassen JC,4
Donoghue JP,1
Mellet E,9
Bricogne S,1
Crivello F,8
Mazoyer B,13
Denis M,1
Tzourio-Mazoyer N,16
Shapleske J,1
Chitnis XA,1
Woodruff PW,13
Daselaar SM,15
Veltman DJ,41
Rombouts SA,23
Raaijmakers JG,2
Lazeron RH,2
Jonker C,2
Dawes H,1
Guy C,1
Wade DT,1
Weissman DH,15
Hazlett CJ,1
Mangun GR,8
Keller SS,2
Wieshmann UC,1
Mackay CE,2
Denby CE,1
Webb J,1
Roberts N,11
Patterson RD,4
Uppenkamp S,5
Maddock RJ,1
Garrett AS,1
Buonocore MH,5
Watson JM,2
Ojemann JG,3
Sylvester CY,3
Wager TD,21
Lacey SC,2
Hernandez L,1
Nichols TE,8
Smith EE,7
Jonides J,10
Ranganath C,13
Dolcos F,15
Prince SE,7
Rice HJ,3
Nyberg L,19
Diamond JB,1
Gerwig M,3
Brol B,1
Kunnel A,1
Boring D,1
Thilmann AF,1
Hunter MD,14
Farrow TF,14
Zheng Y,8
Wilkinson ID,17
Hegde N,1
Woods W,2
Spence SA,7
Morcom AM,7
Good CD,2
Gottfried JA,4
Deichmann R,10
Winston JS,4
O'Doherty J,7
Sumiyoshi C,1
Ozawa F,1
Takehara Y,1
Isoda H,3
Isogai S,1
Sakahara H,1
Rose M,8
Haider H,3
Greicius MD,10
Krasnow B,1
Zelaya F,4
Long C,1
Honey G,1
Reed L,1
Routledge C,1
Ng V,1
Brown J,1
Tezenas du Montcel S,1
Poupon F,1
Ruschemeyer SA,5
Hahne A,2
Fiebach CJ,14
Quintana J,3
Wong T,3
Ortiz-Portillo E,2
Kovalik E,1
Davidson T,1
Marder SR,2
Paulus MP,48
Hozack N,1
Frank L,1
Brown GG,8
Schuckit MA,1
Wartenburger I,7
Heekeren HR,32
Abutalebi J,13
Cappa SF,25
Huber O,3
Samson A,1
Noppeney U,24
Moore P,9
Rhee J,1
Bor D,5
Duncan J,6
Wiseman RJ,1
Hopper J,1
Gupta MA,1
Laurens KR,3
Ngan ET,3
Bates AT,1
Piefke M,7
Greene EJ,2
Miall RC,7
Immisch I,2
Dimyan MA,2
Van Gelderen P,1
Everling S,4
Atherton M,1
Zhuang J,6
Bart WM,1
Hu X,34
He S,10
Chen X,34
Zhang D,14
Zhang X,40
Li Z,19
Meng X,4
Romaiguere P,4
Anton JL,20
Roth M,12
Casini L,1
Roll JP,3
Zhang DR,3
Li ZH,1
Chen XC,1
Wang ZX,3
Zhang XC,1
Meng XM,1
Hu XP,3
Mort DJ,1
Mannan SK,1
Hodgson TL,3
Anderson E,1
Quest R,2
McRobbie D,2
McBride A,1
Kennard C,3
Knutson B,15
Fong GW,1
Bennett SM,1
Adams CM,1
Hommer D,2
Morrillo M,1
van den Heuvel OA,8
Groenewegen HJ,3
Barkhof F,12
van Dyck R,2
Paquette V,4
Levesque J,3
Mensour B,4
Leroux JM,6
Beauregard M,11
Adcock JE,1
Oxbury JM,1
Oxbury SM,1
Erk S,24
Kiefer M,8
Grothe J,2
Walter H,51
Lee HL,5
Westphal C,1
Venkatraman V,8
Claus ED,8
Stamatakis EA,19
Dick E,1
Bright P,3
Moss H,1
Eger E,7
Sterzer P,15
Russ MO,2
Belton E,1
Salmond CH,2
Gadian DG,2
Xiang H,2
Lin C,6
Ma X,22
Zhang Z,50
Bower JM,1
Weng X,17
Peng DL,5
Xu D,10
Jin Z,18
Luo Q,8
Ding GS,5
Perry C,3
Liu Y,82
Li G,7
Cheung RT,3
Hung YC,1
Wong KK,1
Shen GG,1
Ma QY,1
Yang ES,2
Strigo IA,9
Boivin M,3
Gunning-Dixon F,1
Snyder PJ,1
Braun C,5
Anders S,10
Cohen LG,7
Hartley T,5
Spiers HJ,5
van Turennout M,5
Bielamowicz L,1
Mataix-Cols D,9
Cullen S,1
Lange K,2
Amaro E,2
Speckens A,4
Phillips ML,29
Hariri AR,12
Tessitore A,6
Fera F,11
Eugene F,5
Joanette Y,8
Shikata E,1
Hamzei F,6
Koch M,1
Gandour J,2
Dzemidzic M,8
Wong D,2
Lowe M,2
Tong Y,4
Hsieh L,2
Satthamnuwong N,1
Lurito J,1
Gregory MD,3
Wright CI,10
Martis B,5
Schwartz CE,2
Fischer H H,1
McMullin K,3
Thees S,2
Blankenburg F,17
Taskin B,4
Kuo WJ,6
Yeh TC,8
Lee CY,2
Wu Yu,1
Chou CC,2
Ho LT,2
Hung DL,2
Tzeng OJ,4
Hsieh JC,10
Riecker A,9
Mathiak K,22
Bingel U,15
Knab R,2
Kato M,5
Tillmann B,3
Janata P,4
Bharucha JJ,1
Werheid K,1
Muller A,2
Reuter M,9
Newman SD,11
Roth J,1
Brassen S,3
Tost H,11
Hoehn F,1
Weber-Fahr W,4
Klein S,4
Stancak A,3
Cohen ER,2
Seidler RD,13
Duong TQ,2
Kim SG,5
Sakai KL,11
Carr L,2
Lenzi GL,4
Kostopoulos P,4
Geyer MA,1
ffytche D,2
Mitterschiffthaler MT,6
Hempel A,1
Hempel E,1
Schonknecht P,3
Stippich C,7
Schroder J,4
Taniwaki T,2
Okayama A,2
Yoshiura T,7
Nakamura Y,6
Goto Y,1
Kira J,2
Tobimatsu S,3
McClure SM,8
Berns GS,10
Montague PR,4
Simons JS,9
Schwartz BL,1
Rocca MA,26
Mezzapesa DM,4
Falini A,25
Ghezzi A,3
Martinelli V,2
Scotti G,8
Comi G,21
Filippi M,31
Knecht S,7
Jansen A,25
Frank A,1
van Randenborgh J,1
Sommer J,11
Kanowski M,4
Grezes J,18
Schaefer A,3
Collette F,23
Philippot P,2
van der Linden M,4
Delfiore G,1
Salmon E,28
Mohamed F,1
Faro S,1
Tiver R,1
Harvan J,1
Bloomer C,1
Pyrros A,2
Madi S,2
Thierry G,1
Ibarrola D,4
Demonet JF,17
Cardebat D,4
Weiss EM,5
Golaszewski S,7
Hofer A,3
Hausmann A,1
Kemmler G,1
Kremser C,3
Brinkhoff C,1
Felber SR,2
Fleischhacker WW,3
Kagan J,1
McMullin KG,3
Rosa M,2
Miozzo A,1
