,id,title,authors,year_published
26,10022492,Physiological characteristics of capacity constraints in working memory as revealed by functional MRI.,"Callicott JH, Mattay VS, Bertolino A, Finn K, Coppola R, Frank JA, Goldberg TE, Weinberger DR",1999
27,10022494,"Signal-, set- and movement-related activity in the human brain: an event-related  fMRI study.","Toni I, Schluter ND, Josephs O, Friston K, Passingham RE",1999
28,10022496,The functional anatomy of the normal human auditory system: responses to 0.5 and  4.0 kHz tones at varied intensities.,"Lockwood AH, Salvi RJ, Coad ML, Arnold SA, Wack DS, Murphy BW, Burkard RF",1999
29,10051677,Correlation of regional cerebral blood flow and change of plasma sodium concentration during genesis and satiation of thirst.,"Denton D, Shade R, Zamarippa F, Egan G, Blair-West J, McKinley M, Fox P",1999
30,10191322,Mandarin and English single word processing studied with functional magnetic resonance imaging.,"Chee MW, Tan EW, Thiel T",1999
31,10196461,Mapping of secondary somatosensory cortex activation induced by vibrational stimulation: an fMRI study.,"Maldjian JA, Gottschalk A, Patel RS, Pincus D, Detre JA, Alsop DC",1999
32,10197540,Activation of Heschl's gyrus during auditory hallucinations.,"Dierks T, Linden DE, Jandl M, Formisano E, Goebel R, Lanfermann H, Singer W",1999
33,10215087,Ventromedial prefrontal cortex mediates guessing.,"Elliott R, Rees G, Dolan RJ",1999
34,10216270,Frontal cortex and the programming of repetitive tapping movements in man: lesion effects and functional neuroimaging.,"Lepage M, Beaudoin G, Boulet C, O'Brien I, Marcantoni W, Bourgouin P, Richer F",1999
35,10220229,Learning-related neuronal responses in prefrontal cortex studied with functional  neuroimaging.,"Fletcher P, Buchel C, Josephs O, Friston K, Dolan R",1999
36,10227106,Attenuated frontal activation in schizophrenia may be task dependent.,"Curtis VA, Bullmore ET, Morris RG, Brammer MJ, Williams SC, Simmons A, Sharma T, Murray RM, McGuire PK",1999
37,10234026,Recollection and familiarity in recognition memory: an event-related functional magnetic resonance imaging study.,"Henson RN, Rugg MD, Shallice T, Josephs O, Dolan RJ",1999
38,10349031,An fMRI study of Stroop word-color interference: evidence for cingulate subregions subserving multiple distributed attentional systems.,"Peterson BS, Skudlarski P, Gatenby JC, Zhang H, Anderson AW, Gore JC",1999
39,10355678,A functional neuroimaging study of the variables that generate category-specific  object processing differences.,"Moore CJ, Price CJ",1999
40,10355680,Common inhibitory mechanism in human inferior prefrontal cortex revealed by event-related functional MRI.,"Konishi S, Nakajima K, Uchida I, Kikyo H, Kameyama M, Miyashita Y",1999
41,10356062,A large-scale distributed network for covert spatial attention: further anatomical delineation based on stringent behavioural and cognitive controls.,"Gitelman DR, Nobre AC, Parrish TB, LaBar KS, Kim YH, Meyer JR, Mesulam M",1999
42,10366639,Differential neural responses during performance of matching and nonmatching to sample tasks at two delay intervals.,"Elliott R, Dolan RJ",1999
43,10376114,Anterior cingulate cortex dysfunction in attention-deficit/hyperactivity disorder revealed by fMRI and the Counting Stroop.,"Bush G, Frazier JA, Rauch SL, Seidman LJ, Whalen PJ, Jenike MA, Rosen BR, Biederman J",1999
44,10388796,Cerebral correlates of preserved cognitive skills in autism: a functional MRI study of embedded figures task performance.,"Ring HA, Baron-Cohen S, Wheelwright S, Williams SC, Brammer M, Andrew C, Bullmore ET",1999
45,10388797,Semantic integration in reading: engagement of the right hemisphere during discourse processing.,"St George M, Kutas M, Martinez A, Sereno MI",1999
46,10388802,Right prefrontal cortex and episodic memory retrieval: a functional MRI test of the monitoring hypothesis.,"Henson RN, Shallice T, Dolan RJ",1999
47,10390028,A neural basis for category and modality specificity of semantic knowledge.,"Thompson-Schill SL, Aguirre GK, D'Esposito M, Farah MJ",1999
48,10400241,Motivation effects in a dichotic listening task as evident from functional magnetic resonance imaging in human subjects.,"Larisch R, Kotter R, Kehren F, Tosch M, Shah NJ, Kalveram KT, Jancke L, Muller-Gartner HW",1999
49,10400972,Functional anatomy of pursuit eye movements in humans as revealed by fMRI.,"Petit L, Haxby JV",1999
50,10400975,Movement-related cerebellar activation in the absence of sensory input.,"Weeks RA, Gerloff C, Honda M, Dalakas MC, Hallett M",1999
51,10402199,Processing of visually presented sentences in Mandarin and English studied with fMRI.,"Chee MW, Caplan D, Soon CS, Sriram N, Tan EW, Thiel T, Weekes B",1999
52,10407201,The time course of the BOLD response in the human auditory cortex to acoustic stimuli of different duration.,"Jancke L, Buchanan T, Lutz K, Specht K, Mirzazade S, Shah NJ",1999
53,10426417,The functional neuroanatomy of novelty processing: integrating ERP and fMRI results.,"Opitz B, Mecklinger A, Friederici AD, von Cramon DY",1999
54,10430955,Linear coupling between cerebral blood flow and oxygen consumption in activated human cortex.,"Hoge RD, Atkinson J, Gill B, Crelier GR, Marrett S, Pike GB",1999
55,10450888,Electrophysiological studies of human face perception. I: Potentials generated in occipitotemporal cortex by face and non-face stimuli.,"Allison T, Puce A, Spencer DD, McCarthy G",1999
56,10450889,Electrophysiological studies of human face perception. II: Response properties of face-specific potentials generated in occipitotemporal cortex.,"McCarthy G, Puce A, Belger A, Allison T",1999
57,10506099,Brain structures related to active and passive finger movements in man.,"Mima T, Sadato N, Yazawa S, Hanakawa T, Fukuyama H, Yonekura Y, Shibasaki H",1999
58,10531451,Areas involved in encoding and applying directional expectations to moving objects.,"Shulman GL, Ollinger JM, Akbudak E, Conturo TE, Snyder AZ, Petersen SE, Corbetta M",1999
59,10545400,Perceptual differentiation and category effects in normal object recognition: a PET study.,"Gerlach C, Law I, Gade A, Paulson OB",1999
60,10554989,Tactile attention tasks enhance activation in somatosensory regions of parietal cortex: a positron emission tomography study.,"Burton H, Abend NS, MacLeod AM, Sinclair RJ, Snyder AZ, Raichle ME",1999
61,10554992,When that tune runs through your head: a PET investigation of auditory imagery for familiar melodies.,"Halpern AR, Zatorre RJ",1999
62,10554993,An anatomical landmark for the supplementary eye fields in human revealed with functional magnetic resonance imaging.,"Grosbras MH, Lobel E, Van de Moortele PF, LeBihan D, Berthoz A",1999
63,10557338,Differences in frontal cortical activation by a working memory task after substitution of risperidone for typical antipsychotic drugs in patients with schizophrenia.,"Honey GD, Bullmore ET, Soni W, Varatheesan M, Williams SC, Sharma T",1999
64,10559415,Neural representation of a rhythm depends on its interval ratio.,"Sakai K, Hikosaka O, Miyauchi S, Takino R, Tamada T, Iwata NK, Nielsen M",1999
65,10561425,Spatiotemporal activity of a cortical network for processing visual motion revealed by MEG and fMRI.,"Ahlfors SP, Simpson GV, Dale AM, Belliveau JW, Liu AK, Korvenoja A, Virtanen J, Huotilainen M, Tootell RB, Aronen HJ, Ilmoniemi RJ",1999
66,10571235,Form and content: dissociating syntax and semantics in sentence comprehension.,"Dapretto M, Bookheimer SY",1999
67,10586971,The role of the posterior parietal cortex in human object recognition: a functional magnetic resonance imaging study.,"Sugio T, Inui T, Matsuo K, Matsuzawa M, Glover GH, Nakai T",1999
68,10594068,Amygdala-hippocampal involvement in human aversive trace conditioning revealed through event-related functional magnetic resonance imaging.,"Buchel C, Dolan RJ, Armony JL, Friston KJ",1999
69,10600999,The effects of age on the neural correlates of episodic encoding.,"Grady CL, McIntosh AR, Rajah MN, Beig S, Craik FI",1999
70,10601675,Parietal and cingulate processes in central pain. A combined positron emission tomography (PET) and functional magnetic resonance imaging (fMRI) study of an unusual case.,"Peyron R, Garcia-Larrea L, Gregoire MC, Convers P, Richard A, Lavenne F, Barral FG, Mauguiere F, Michel D, Laurent B",2000
71,10617288,Reading the mind in cartoons and stories: an fMRI study of 'theory of mind' in verbal and nonverbal tasks.,"Gallagher HL, Happe F, Brunswick N, Fletcher PC, Frith U, Frith CD",2000
72,10624956,Human cortical regions involved in extracting depth from motion.,"Orban GA, Sunaert S, Todd JT, Van Hecke P, Marchal G",1999
73,10632617,Neural systems underlying the recognition of familiar and newly learned faces.,"Leveroni CL, Seidenberg M, Mayer AR, Mead LA, Binder JR, Rao SM",2000
74,10634893,Cortical activity in precision- versus power-grip tasks: an fMRI study.,"Ehrsson HH, Fagergren A, Jonsson T, Westling G, Johansson RS, Forssberg H",2000
75,10639391,Visual function and brain organization in non-decussating retinal-fugal fibre syndrome.,"Victor JD, Apkarian P, Hirsch J, Conte MM, Packard M, Relkin NR, Kim KH, Shapley RM",2000
76,10639399,Functional dissociation between medial and lateral prefrontal cortical spatiotemporal activation in negative and positive emotions: a combined fMRI/MEG  study.,"Northoff G, Richter A, Gessner M, Schlagenhauf F, Fell J, Baumgart F, Kaulisch T, Kotter R, Stephan KE, Leschinger A, Hagner T, Bargel B, Witzel T, Hinrichs H, Bogerts B, Scheich H, Heinze HJ",2000
77,10643727,Event-related fMRI: comparison of conditions with varying BOLD overlap.,"Pollmann S, Dove A, Yves von Cramon D, Wiggins CJ",2000
78,10648437,The visual word form area: spatial and temporal characterization of an initial stage of reading in normal subjects and posterior split-brain patients.,"Cohen L, Dehaene S, Naccache L, Lehericy S, Dehaene-Lambertz G, Henaff MA, Michel F",2000
79,10651872,The architecture of the colour centre in the human visual brain: new results and  a review.,"Bartels A, Zeki S",2000
80,10656524,Systematic approach to dipole localization of interictal EEG spikes in children with extratemporal lobe epilepsies.,"Ochi A, Otsubo H, Shirasawa A, Hunjan A, Sharma R, Bettings M, Rutka JT, Kamijo K, Yamazaki T, Wilson SB, Snead OC 3rd",2000
81,10666552,Replication and further studies of neural mechanisms of spatial mnemonic processing in humans.,"Zarahn E, Aguirre G, D'Esposito M",2000
82,10666559,Functional asymmetry of human prefrontal cortex in verbal and non-verbal episodic memory as revealed by fMRI.,"Iidaka T, Sadato N, Yamada H, Yonekura Y",2000
83,10666562,Prefrontal cortex activation in task switching: an event-related fMRI study.,"Dove A, Pollmann S, Schubert T, Wiggins CJ, von Cramon DY",2000
84,10669519,Human cerebellum plays an important role in memory-timed finger movement: an fMRI study.,"Kawashima R, Okuda J, Umetsu A, Sugiura M, Inoue K, Suzuki K, Tabuchi M, Tsukiura T, Narayan SL, Nagasaka T, Yanagawa I, Fujii T, Takahashi S, Fukuda H, Yamadori A",2000
85,10678698,The calculating brain: an fMRI study.,"Rickard TC, Romero SG, Basso G, Wharton C, Flitman S, Grafman J",2000
86,10680764,Human brain areas involved in the analysis of auditory movement.,"Griffiths TD, Green GG, Rees A, Rees G",2000
87,10683393,"Recoding, storage, rehearsal and grouping in verbal short-term memory: an fMRI study.","Henson RN, Burgess N, Frith CD",2000
88,10684898,Conscious and unconscious processing of nonverbal predictability in Wernicke's area.,"Bischoff-Grethe A, Proper SM, Mao H, Daniels KA, Berns GS",2000
89,10686176,The neural correlates of 'deaf-hearing' in man: conscious sensory awareness enabled by attentional modulation.,"Engelien A, Huber W, Silbersweig D, Stern E, Frith CD, Doring W, Thron A, Frackowiak RS",2000
90,10686183,Functional MRI evidence for a role of frontal and inferior temporal cortex in amodal components of priming.,"Buckner RL, Koutstaal W, Schacter DL, Rosen BR",2000
91,10689056,Orienting attention in time: behavioural and neuroanatomical distinction between  exogenous and endogenous shifts.,"Coull JT, Frith CD, Buchel C, Nobre AC",2000
92,10712490,"Fast reaction to different sensory modalities activates common fields in the motor areas, but the anterior cingulate cortex is involved in the speed of reaction.","Naito E, Kinomura S, Geyer S, Kawashima R, Roland PE, Zilles K",2000
93,10717412,Neural substrates for depth perception of the Necker cube; a functional magnetic  resonance imaging study in human subjects.,"Inui T, Tanaka S, Okada T, Nishizawa S, Katayama M, Konishi J",2000
94,10725372,A resource model of the neural basis of executive working memory.,"Bunge SA, Klingberg T, Jacobsen RB, Gabrieli JD",2000
95,10729350,What and when: parallel and convergent processing in motor control.,"Sakai K, Hikosaka O, Takino R, Miyauchi S, Nielsen M, Tamada T",2000
96,10734010,Essential role of the right superior parietal cortex in Japanese kana mirror reading: An fMRI study.,"Dong Y, Fukuyama H, Honda M, Okada T, Hanakawa T, Nakamura K, Nagahama Y, Nagamine T, Konishi J, Shibasaki H",2000
97,10751455,Neural activity relating to generation and representation of galvanic skin conductance responses: a functional magnetic resonance imaging study.,"Critchley HD, Elliott R, Mathias CJ, Dolan RJ",2000
98,10774738,A stimulus-driven approach to object identity and location processing in the human brain.,"Marois R, Leung HC, Gore JC",2000
99,10775540,Participation of the left posterior inferior temporal cortex in writing and mental recall of kanji orthography: A functional MRI study.,"Nakamura K, Honda M, Okada T, Hanakawa T, Toma K, Fukuyama H, Konishi J, Shibasaki H",2000
100,10792453,Differential amygdala responses to winning and losing: a functional magnetic resonance imaging study in humans.,"Zalla T, Koechlin E, Pietrini P, Basso G, Aquino P, Sirigu A, Grafman J",2000
101,10805701,Selective spatial attention in vision and touch: unimodal and multimodal mechanisms revealed by PET.,"Macaluso E, Frith C, Driver J",2000
102,10805707,Responses to rare visual target and distractor stimuli using event-related fMRI.,"Clark VP, Fannon S, Lai S, Benson R, Bauer L",2000
103,10808134,Recognition of emotional prosody and verbal components of spoken language: an fMRI study.,"Buchanan TW, Lutz K, Mirzazade S, Specht K, Shah NJ, Zilles K, Jancke L",2000
104,10838149,Cortical activity during rotational and linear transformations.,"Barnes J, Howard RJ, Senior C, Brammer M, Bullmore ET, Simmons A, Woodruff P, David AS",2000
105,10847597,Matching two imagined clocks: the functional anatomy of spatial analysis in the absence of visual stimulation.,"Trojano L, Grossi D, Linden DE, Formisano E, Hacker H, Zanella FE, Goebel R, Di Salle F",2000
106,10847601,Human temporal lobe activation by speech and nonspeech sounds.,"Binder JR, Frost JA, Hammeke TA, Bellgowan PS, Springer JA, Kaufman JN, Possing ET",2000
107,10848570,Inaudible high-frequency sounds affect brain activity: hypersonic effect.,"Oohashi T, Nishina E, Honda M, Yonekura Y, Fuwamoto Y, Kawai N, Maekawa T, Nakamura S, Fukuyama H, Shibasaki H",2000
108,10858628,Reduced anterior cingulate gyrus volume correlates with executive dysfunction in  men with first-episode schizophrenia.,"Szeszko PR, Bilder RM, Lencz T, Ashtari M, Goldman RS, Reiter G, Wu H, Lieberman JA",2000
109,10859133,An event-related functional MRI study of the stroop color word interference task.,"Leung HC, Skudlarski P, Gatenby JC, Peterson BS, Gore JC",2000
110,10859136,A parametric manipulation of central executive functioning.,"Garavan H, Ross TJ, Li SJ, Stein EA",2000
111,10861020,Attentional modulation of effective connectivity from V2 to V5/MT in humans.,"Friston KJ, Buchel C",2000
112,10863028,Hemispheric lateralization at different levels of human auditory word processing: a functional magnetic resonance imaging study.,"Zahn R, Huber W, Drews E, Erberich S, Krings T, Willmes K, Schwarz M",2000
113,10864232,Hemispheric preference in visuospatial processing: a complementary approach with  fMRI and lesion studies.,"Ng VW, Eslinger PJ, Williams SC, Brammer MJ, Bullmore ET, Andrew CM, Suckling J, Morris RG, Benton AL",2000
114,10865104,Motor response suppression and the prepotent tendency to respond: a parametric fMRI study.,"de Zubicaray GI, Andrew C, Zelaya FO, Williams SC, Dumanoir C",2000
115,10865105,"Cerebral regions associated with verbal response initiation, suppression and strategy use.","de Zubicaray GI, Zelaya FO, Andrew C, Williams SC, Bullmore ET",2000
116,10865107,Hemispheric asymmetries and individual differences in visual concept learning as  measured by functional MRI.,"Seger CA, Poldrack RA, Prabhakaran V, Zhao M, Glover GH, Gabrieli JD",2000
117,10869575,Interhemispheric transfer of language in patients with left frontal cerebral arteriovenous malformation.,"Lazar RM, Marshall RS, Pile-Spellman J, Duong HC, Mohr JP, Young WL, Solomon RL, Perera GM, DeLaPaz RL",2000
118,10899227,Segregation of somatosensory activation in the human rolandic cortex using fMRI.,"Moore CI, Stern CE, Corkin S, Fischl B, Gray AC, Rosen BR, Dale AM",2000
119,10900023,"Dissociation of response conflict, attentional selection, and expectancy with functional magnetic resonance imaging.","Casey BJ, Thomas KM, Welsh TF, Badgaiyan RD, Eccard CH, Jennings JR, Crone EA",2000
120,10906316,Segregating semantic and syntactic aspects of processing in the human brain: an fMRI investigation of different word types.,"Friederici AD, Opitz B, von Cramon DY",2000
121,10906317,Maintaining and shifting attention within left or right hemifield.,"Vandenberghe R, Duncan J, Arnell KM, Bishop SJ, Herrod NJ, Owen AM, Minhas PS, Dupont P, Pickard JD, Orban GA",2000
122,10908189,Auditory processing in the vegetative state.,"Laureys S, Faymonville ME, Degueldre C, Fiore GD, Damas P, Lambermont B, Janssens N, Aerts J, Franck G, Luxen A, Moonen G, Lamy M, Maquet P",2000
123,10908192,Unconscious activation of visual cortex in the damaged right hemisphere of a parietal patient with extinction.,"Rees G, Wojciulik E, Clarke K, Husain M, Frith C, Driver J",2000
124,10908201,Episodic memory in left temporal lobe epilepsy: a functional MRI study.,"Dupont S, Van de Moortele PF, Samson S, Hasboun D, Poline JB, Adam C, Lehericy S, Le Bihan D, Samson Y, Baulac M",2000
125,10912590,Modulation and task effects in auditory processing measured using fMRI.,"Hall DA, Haggard MP, Akeroyd MA, Summerfield AQ, Palmer AR, Elliott MR, Bowtell RW",2000
126,10913505,Differential limbic--cortical correlates of sadness and anxiety in healthy subjects: implications for affective disorders.,"Liotti M, Mayberg HS, Brannan SK, McGinnis S, Jerabek P, Fox PT",2000
127,10920049,Visual perception of motion and 3-D structure from motion: an fMRI study.,"Paradis AL, Cornilleau-Peres V, Droulez J, Van De Moortele PF, Lobel E, Berthoz A, Le Bihan D, Poline JB",2000
128,10978692,Cortical activations during paced finger-tapping applying visual and auditory pacing stimuli.,"Jancke L, Loose R, Lutz K, Specht K, Shah NJ",2000
129,10978708,Modulation of task-related neural activity in task-switching: an fMRI study.,"Kimberg DY, Aguirre GK, D'Esposito M",2000
130,10978709,fMRI evidence of age-related hippocampal dysfunction in feature binding in working memory.,"Mitchell KJ, Johnson MK, Raye CL, D'Esposito M",2000
131,10980029,Representation of the temporal envelope of sounds in the human brain.,"Giraud AL, Lorenzi C, Ashburner J, Wable J, Johnsrude I, Frackowiak R, Kleinschmidt A",2000
132,10980036,Activation of the dorsal premotor cortex and pre-supplementary motor area of humans during an auditory conditional motor task.,"Kurata K, Tsuji T, Naraki S, Seino M, Abe Y",2000
133,10982747,Sex differences in lateralization revealed in the posterior language areas.,"Kansaku K, Yamaura A, Kitazawa S",2000
134,10982748,A comparison of visual and auditory motion processing in human cerebral cortex.,"Lewis JW, Beauchamp MS, DeYoe EA",2000
135,10982749,Working memory of auditory localization.,"Martinkauppi S, Rama P, Aronen HJ, Korvenoja A, Carlson S",2000
136,10998123,Involvement of the human frontal eye field and multiple parietal areas in covert  visual selection during conjunction search.,"Donner T, Kettermann A, Diesch E, Ostendorf F, Villringer A, Brandt SA",2000
137,11004124,Musical hallucinosis in acquired deafness. Phenomenology and brain substrate.,Griffiths TD,2000
138,11018487,Somatosensory cortex responses to median nerve stimulation: fMRI effects of current amplitude and selective attention.,"Backes WH, Mess WH, van Kranen-Mastenbroek V, Reulen JP",2000
139,11050021,The functional neuroanatomy of social behaviour: changes in cerebral blood flow when people with autistic disorder process facial expressions.,"Critchley HD, Daly EM, Bullmore ET, Williams SC, Van Amelsvoort T, Robertson DM, Rowe A, Phillips M, McAlonan G, Howlin P, Murphy DG",2000
140,11050024,Understanding dissociations in dyscalculia: a brain imaging study of the impact of number size on the cerebral networks for exact and approximate calculation.,"Stanescu-Cosson R, Pinel P, van De Moortele PF, Le Bihan D, Cohen L, Dehaene S",2000
141,11050027,The neurology of saccades and covert shifts in spatial attention: an event-related fMRI study.,"Perry RJ, Zeki S",2000
142,11053229,Physiological dysfunction of the dorsolateral prefrontal cortex in schizophrenia  revisited.,"Callicott JH, Bertolino A, Mattay VS, Langheim FJ, Duyn J, Coppola R, Goldberg TE, Weinberger DR",2000
143,11053230,Partially overlapping neural networks for real and imagined hand movements.,"Gerardin E, Sirigu A, Lehericy S, Poline JB, Gaymard B, Marsault C, Agid Y, Le Bihan D",2000
144,11073867,Task-specific repetition priming in left inferior prefrontal cortex.,"Wagner AD, Koutstaal W, Maril A, Schacter DL, Buckner RL",2000
145,11074084,Neural substrates for the recognition of newly learned faces: a functional MRI study.,"Katanoda K, Yoshikawa K, Sugishita M",2000
146,11080231,Cerebral activation pattern in primary writing tremor.,"Berg D, Preibisch C, Hofmann E, Naumann M",2000
147,11087002,Neural correlates of the attentional blink.,"Marois R, Chun MM, Gore JC",2000
148,11095716,Disruption of the neural response to rapid acoustic stimuli in dyslexia: evidence from functional MRI.,"Temple E, Poldrack RA, Protopapas A, Nagarajan S, Salz T, Tallal P, Merzenich MM, Gabrieli JD",2000
149,11099442,The neurological basis of developmental dyslexia: an overview and working hypothesis.,Habib M,2000
150,11099454,Neural consequences of acting in near versus far space: a physiological basis for clinical dissociations.,"Weiss PH, Marshall JC, Wunderlich G, Tellmann L, Halligan PW, Freund HJ, Zilles K, Fink GR",2000
151,11099732,'Where' depends on 'what': a differential functional anatomy for position discrimination in one- versus two-dimensions.,"Fink GR, Marshall JC, Weiss PH, Shah NJ, Toni I, Halligan PW, Zilles K",2000
152,11099827,Naming of animals and tools: a functional magnetic resonance imaging study of categorical differences in the human brain areas commonly used for naming visually presented objects.,"Okada T, Tanaka S, Nakai T, Nishizawa S, Inui T, Sadato N, Yonekura Y, Konishi J",2000
153,11110829,Learning- and expectation-related changes in the human brain during motor learning.,"Ramnani N, Toni I, Josephs O, Ashburner J, Passingham RE",2000
154,11110834,Tracking the hemodynamic responses to reward and punishment in the striatum.,"Delgado MR, Nystrom LE, Fissell C, Noll DC, Fiez JA",2000
155,11113035,Separate neural correlates for the mnemonic components of successive discrimination and working memory tasks.,"Cornette L, Dupont P, Bormans G, Mortelmans L, Orban GA",2001
156,11113036,The noradrenergic alpha2 agonist clonidine modulates behavioural and neuroanatomical correlates of human attentional orienting and alerting.,"Coull JT, Nobre AC, Frith CD",2001
157,11113037,Dissociable mechanisms of attentional control within the human prefrontal cortex.,"Nagahama Y, Okada T, Katsumi Y, Hayashi T, Yamauchi H, Oyanagi C, Konishi J, Fukuyama H, Shibasaki H",2001
158,11114477,Domain-specific distribution of working memory processes along human prefrontal and parietal cortices: a functional magnetic resonance imaging study.,"Gruber O, von Cramon DY",2001
159,11115652,Automatic activation of positive but not negative attitudes after traumatic brain injury.,"Park NW, Conrod B, Rewilak D, Kwon C, Gao F, Black SE",2001
160,11133788,Characterizing the neural mechanisms of skill learning and repetition priming: evidence from mirror reading.,"Poldrack RA, Gabrieli JD",2001
161,11133789,Separate neural subsystems within 'Wernicke's area'.,"Wise RJ, Scott SK, Blank SC, Mummery CJ, Murphy K, Warburton EA",2001
162,11157567,Depth of processing effects on neural correlates of memory encoding: relationship between findings from across- and within-task comparisons.,"Otten LJ, Henson RN, Rugg MD",2001
163,11160520,Multisensory cortical signal increases and decreases during vestibular galvanic stimulation (fMRI).,"Bense S, Stephan T, Yousry TA, Brandt T, Dieterich M",2001
164,11160524,Cerebral cortical representation of automatic and volitional swallowing in humans.,"Martin RE, Goodyear BG, Gati JS, Menon RS",2001
165,11163281,Distributed neural systems for the generation of visual images.,"Ishai A, Ungerleider LG, Haxby JV",2000
166,11163282,Auditory processing across the sleep-wake cycle: simultaneous EEG and fMRI monitoring in humans.,"Portas CM, Krakow K, Allen P, Josephs O, Armony JL, Frith CD",2000
167,11163369,PET evaluation of bilingual language compensation following early childhood brain damage.,"Tierney MC, Varga M, Hosey L, Grafman J, Braun A",2001
168,11163375,Perceptual specificity in visual object priming: functional magnetic resonance imaging evidence for a laterality difference in fusiform cortex.,"Koutstaal W, Wagner AD, Rotte M, Maril A, Buckner RL, Schacter DL",2001
169,11167053,A comparison of 'Early' and 'Late' stage brain activation during brief practice of a simple motor task.,"Tracy JI, Faro SS, Mohammed F, Pinus A, Christensen H, Burkland D",2001
170,11167061,Activity in fusiform face area modulated as a function of working memory load.,"Druzgal TJ, D'Esposito M",2001
171,11169872,Detection of fMRI activation using cortical surface mapping.,"Andrade A, Kherif F, Mangin JF, Worsley KJ, Paradis AL, Simon O, Dehaene S, Le Bihan D, Poline JB",2001
